Appearance,Personality,Ability,Occupation
"- Skin color: 
- Race or ethnicity: 
- Facial features: 
- Hair: Bald
- Impression: Wearing a sleeveless shirt, attire resembling a life jacket.
- Distinctive feature: Wearing a mask covering part of the face (with a mouthpiece covering the mouth).","· Charisma
",intimidation,
"- Skin color: 
- Race (or ethnicity):
- Facial features:
- Hair: Hair protrudes sharply to the side, resembling horns.  
- Impression:  
- Distinctive feature: Looks villainous. Lean build.","- Greed  
- Luxury  
- Cleverness  
- Narcissism",Disguise,백작
"- Skin color:
- Race (or ethnicity): 
- Facial features: 
- Hair:  
- Impression:  
- Distinctive feature: Wearing glasses. Prim and proper appearance.","- Cleverness  
- Hatred: Strong aversion towards the police.  
- Mistreatment: Derives pleasure from torturing and killing police officers.  
- Profanity: Frequently uses vulgar language and insults, including blasphemy.  
- Criminal: Commits mass murder, rape, drug trafficking, and bank robberies.  
- Cunning",Proficient in handling firearms,
"- Skin color:
- Race (or ethnicity): 
- Facial features:  
- Hair: Blonde (updo hairstyle)  
- Impression:  
- Distinctive feature: Large build.","- Cold-blooded: Possesses a cold-blooded disposition in the face of victory.
- Drug use: Takes steroids.
- Ruthlessness: Shows no mercy and will do anything to win.",,Boxer
"- Skin color: Not specified  
- Race (or ethnicity): Not specified  
- Facial features: Not specified  
- Hair: Grey hair  
- Impression:  
- Distinctive feature:","- Emotional instability
- Pre-murder ritual: Inhales gas from an artificial respirator before committing murder
- Profanity: Frequently uses the word ""fucking""
- Disorder: Asphyxiophilia (a disorder associated with sexual arousal from asphyxiation)
- Mistreatment: Tortures Dorothy
- Criminal: Mass murder, rape, drug trafficking, prostitution",,Underground organization member
"- Skin color: Not specified  
- Race (or ethnicity): Not specified  
- Facial features: Deep-set eyes  
- Hair: Not specified  
- Impression:  
-  Distinctive feature: Appears deranged.","- Alcohol addict
- Misogyny: Hatred towards women
- Racism
- Smiling face
- Criminal: Serial killer",,
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: White hair  
- Impression: Wearing a suit  
- Distinctive feature:","- Infamous butcher: Nicknamed ""The Butcher of Krakow""
- Ruthlessness
- Principled",,
"- Skin color:
- Race (or ethnicity): 
- Facial features: 
- Hair: White hair  
- Impression: Wearing a shirt and a suit  
- Distinctive feature: Stern appearance","- Greedy
- Tycoon: A big player on Wall Street
- Obsession: Obsession with money - Driven by money alone.
- Ruthlessness: People are merely tools for making money, and if not needed, discarded.",,Enterpriser
"- Skin color:
- Race (or ethnicity):  
- Facial features: 
- Hair: 
- Impression: 
- Distinctive feature: ","- Physical Disorder: Limping
- Criminal: Serial murder
- Cruelty
- Appears frail
- Smoking: Smokes cigarettes after committing a robbery.
- Trickster",,
"- Skin color:
- Race (or ethnicity):  
- Facial features: 
- Hair: 
- Impression: 
- Distinctive feature: ","- Disorder: Obsessive-compulsive
- Child abuse: Inflicting violence on the daughter using a coat hanger",,
"- Skin color:
- Race (or ethnicity): Italian
- Facial features: 
- Hair: 
- Impression: 
- Distinctive feature: ","- Cheerful: Often makes jokes
- Disorder: Intermittent Explosive Disorder (IED)",,
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair:
- Impression:
- Distinctive feature: Sharp countenance","- Loyalty: Loyalty to the homeland
- Mistreatment: Cruelty towards Vietnamese, subjected to brutal torture
- Cruelty",,U.S. Army Colonel
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair:
- Impression:
- Distinctive feature: Lives with a treasure chest containing a heart instead of his own.","- Pessimism: Extremely pessimistic about love
- Role: Guides deceased souls from the sea to the afterlife
- Cheerful: Makes jokes
- Nihilism
- Ruthlessness","· Superhuman strength
· Deals with monsters: Known as 'Kraken'
· Proficient swordsmanship",
"- Skin color:
- Race (or ethnicity):  
- Facial features: 
- Hair: 
- Impression: 
- Distinctive feature: ","· Eccentricity: Mental realm is four-dimensional
· Cleverness: Tactician","· Proficient swordsmanship
",
"· Skin color:
· Race (or ethnicity):
· Facial features:
· Hair: Mohawk
· Impression:
· Distinctive feature:","- Combat veteran background
- Disorder: Insomnia, Depression
- Cruelty: Refers to many people encountered during work (those who use drugs or steal) as trash, vows to kill them someday",,
"- Skin color:
- Race (or ethnicity): Son of a demon
- Facial features:
- Hair:
- Impression:
- Distinctive feature:",Potential future adversary of Christ,"- Impeccable immunity: Never falls ill
- Causes malfunctions in machinery
- Induces hallucinations
- Can twist human hearts
- Can control animals like dogs, horses, etc.",
"- Skin color: 
- Race (or ethnicity): 
- Facial features: 
- Hair: Bald
- Impression: White top hat, white suit
- Distinctive feature: Large physique","- Calculating: Proficient in planning criminal activities
- Leadership: Leads major organizations.
- Wealthy
- Cleverness: Fluent in multiple languages.
- Affectionate: Cherishes family.
- Kind-hearted: Cares deeply for people in their vicinity.
- Cunning",· Powerfulness,Crime boss
"· Skin color:  
· Race (or ethnicity):  
· Facial features:  
· Hair:  
· Impression: Brown suit  
· Distinctive feature: Eyes dilated from drugs.","· Corrupt police officer: A cop involved in drug busts who buys and consumes drugs himself.
· Psychopath: Insensitive to people's deaths. Lacks remorse.
· Pre-murder ritual: Takes drugs and shivers before committing the act.
· Nihilism
· Music: Listens to Beethoven and Mozart with earphones.
· Criminal: Serial killer
· Exaggerated gestures",,Police
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair: Beard.
- Impression:
- Distinctive feature:","- Wealthy: Affluent
- Violent
- Racism: However, extremely fond of his own black slaves
- Contradictory
- Smoking",,
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair: Beard.
- Impression:
- Distinctive feature:","· Disorder: Obsessive-compulsive
· Delusional jealousy: Hits his wife
· Violent",,
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair: .
- Impression:
- Distinctive feature:","· Violent
· Mistreatment: Massacre and torture of Jews
· The Jew Hunter: Systematically identifies and hunts Jews using meticulous methods.
· Lack of morality: Proudly embraces his nickname.
· Cleverness: Proficient in multiple languages.
· Calculating: Acts meticulously for his own benefit.
· Loyalty: Strong loyalty to the military. Proud of it.
· Smoking",,Austrian Officer
"- Skin color:
- Race (or ethnicity):
- Facial features:
- Hair: Blonde. Pigtailed.
- Impression:
- Distinctive feature:","· Child Psychopath
· Criminal: Serial killer
· Playfulness",,
"· Skin color: Pale
· Race (or ethnicity): 
· Facial features: 
· Hair: Black, braided
· Impression: 
· Distinctive feature: Emptiness in expression, expressionless","- Child Psychopath
- Calmness
- Cunning",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Dictator: Governs the prison with a strong hand
- High intelligence
- Devout Christian
- Money laundering
- Authoritative",,Prison Director
"Skin color:
Race (or ethnicity): Italian
Facial features:
Hair: White 
Impression:
Distinctive feature:","- Weathly
- 과거: 평범한 자동차 판매원
- Tyrant
- assassination attempt
- Smoker",,"Mafia boss
Rum runner"
"Skin color:
Race (or ethnicity): Italian
Facial features:
Hair:  
Impression:
Distinctive feature:","- indecisive(우유부단함)
- promiscuous(여자 관계가 문란함)
- bisexual",,
"Skin color:
Race (or ethnicity): Italian
Facial features:
Hair:  
Impression:
Distinctive feature: fedora","- loyalty to the organization
- revenge
- Cleverness: Sharp mind
- Loves family",,Drug Dealer
"Skin color:
Race (or ethnicity): Italian
Facial features:
Hair: 
Impression:
Distinctive feature:","- Cleverness
- lacks foresight
- Ruthlessness",,
"Skin color:
Race (or ethnicity): 
Facial features:
Hair: Center parting. (가운데 가르마)
Impression:
Distinctive feature: Always impeccably dressed in a suit. / fedora","- Tragic backstory: Carried out revenge for the person (mafia boss) who killed his father and committed murders. Subsequently, became extremely ruthless and led the organization in a cold-blooded and brutal manner, unlike his father who led the organization in a familial manner.
Ruthlessness.
- 초반: 범죄와 연루되고 싶지 않았음.
- Aspires to elevate his family to the highest position.
- Cold-blooded
- Smoker",,"U.S Marine Capatin
Crime Boss"
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Mercilessness
- Murder
- Greed
- Authoritarianism
",- Sharpshooter: Skilled with a gun,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Strategic
- high intelligence
- enjoys killing",Sharpshooter,Bounty hunter
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Wealthy
- planner
- Gets around in a wheelchair
- Obsessed with money",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Was once a good person
- Commits murder out of desire to survive",,Scientist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature: Black spots on white body","- High intelligence
- Obsessed with power","- Superhuman strength
-Teleportation",Scientist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Murder
- Misogyny
- Enjoys filming humiliating scenes
- Betrayal
- Selfish",,Drug Dealer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Sadistic
- Enjoys electrocution torture
- Cowardly
- Deliberately kills mice out of anger",,Prison Officer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Ruthlessness
- Behave like a human despite being a machine
- high intelligence
- Murder machine",Shapeshifter,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Suffers from harassment
- Vindictive
- Murder
- Self-centered
- Enjoys tormenting people
- Sadistic",,
"Skin color:
Race (or ethnicity):
Facial features:Abnormally large head
Hair: White
Impression:
Distinctive feature:Wears gold earrings","- Ruthlessness
- eccentric
- Obsession with money
- luxury",Dominates by taking names of various beings,Sorcerer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Serial murder
- Delusion: Thinks mother is controlling them
- Murders mother
- High intelligence",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Cruelty
- Ruthlessness
- Obsession with authority
- Oedipus complex
- Incestuous",,Roman Emperor
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Deceitfulness
- Informant
- Obsession with money
- Selfish",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Madness
- Ruthlessness
- Obsession with music
- Perfectionist
-  Psychological abuse
- Sadistic: Engages in cunning behavior to exploit the weaknesses of others",,Conductor
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- murder
- Vindictive",,Magician
"Skin color:
Race (or ethnicity):German Nazi
Facial features:
Hair: 
Impression:
Distinctive feature:","- manners
- genocide
- cleverness
- Deceitfulness",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",- Murder,Sharpshooter,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",- calculating,,
"Skin color:
Race (or ethnicity):Alien
Facial features:
Hair: 
Impression:
Distinctive feature:","- Murder
- Emotionless",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Deceptive
- Selfish",,
"Skin color:
Race (or ethnicity):German Nazi: hired by Nazi
Facial features:
Hair: 
Impression:
Distinctive feature:","- Obsession with women
- high intelligence
- Multilingualism",,Archaeologist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Autopilot, the automatic piloting system of the spaceship Axiom
- Ruthlessness: Kills those who oppose his views
- Emotionless",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- corrupt
- sadistic
- Misogyny",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- smoking
- Luxury
- selfish",,actor
"Skin color:Purple
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:Giant stature","- High intelligence
- Adherence to own philosophy(보수적)",Transcendent strength,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Tyrant
- eloquent speaker
- Self-centered
- Ruthlessness
- Emotional",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",- Murder,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Obsession with money
- Planner
- Murder",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- sexual perversion
- Obsession with young women
- Stalking",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- paranoid
- smoking
- music: jazz",,general
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Controls people
- Kills all the women Oedipus loves
- Weak heart
- Cynicism about life
- Incest
- Murder
- Oedipus complex
- Ruthlessness
- Self-centeredness
- Obsessive-compulsive disorder
- Hypocritical
- Trapped in the past
- Cunning",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:handsome
Distinctive feature:","- Deceives others 
- selfish
- Ruthlessness",,musian
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Inferiority complex
- Religious",,Musician
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Inanimate object abuse
- Braces
- Enjoys tormenting others
- Likes heavy metal",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- tyrant
- Child abuse
- Ruthlessness
- Misogyny
- sadistic",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- murder
- Thief
- Betrayal",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Conservative
- Strategic",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Cruelty
- Selfish
- Sadistic
- Abuse of authority
- Obsession with power",,
"Skin color:
Race (or ethnicity):AI
Facial features:
Hair: 
Impression:
Distinctive feature:","- Anthropomorphism expressed through the use of urgent words.
- Social interaction as though it were alive and socially aware.
- Mental illness in AI: schizophrenia as a condition analogous to a double bind theory.","- Speech recognition 
- Facial recognition 
- Lip movement analysis
- Emotion interpretation and analysis",
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Thief
- Sadistic
- slient
- Calm
- Murder
- Rapist",,Mafia
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Deceitfulness
- Ruthlessness
- Obsession with money",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Brazenness: Does not admit to his crimes
- serial murder",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",- Murder,,Industrial spy
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Charismatic
- Strategic
- Attempted murder
- Criminal confession",,Insurance agent
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Greed
- Instability",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Thief
- leadership",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",Serial murder,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","archaeologist
German Nazi
obsession of immotality",,archaeologist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: White
Impression:
Distinctive feature: Wearing a glove on one hand","- sexual perversion: Falls in love with a robot
- Delusion: Believes that the robot is alive",,mad scientist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Bribery
- high intelligence",,corrupt police captain
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature: shaking left hand","- eloquent speaker: Persuades others well
- Obsessive-compulsive disorder",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Ruthlessness: Will do anything to obtain money  
- regardless of means and methods",,
"Skin color:
Race (or ethnicity):
Facial features:Masked(허수아비 모양)
Hair: 
Impression: 안경
Distinctive feature: ","- Studies human fears
- High intelligence
- Psychological manipulation of students",,"Drug delaer
"
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Strong desire for social ascent
- Master swindler
- drugs
- drinking
- satyr",,Wall Street stockbroker
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Deceitfulness
- Womanizer (바람핌)
- Stalker",,Actor
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression: 안경
Distinctive feature:","- cleverness
- high intelligence
- Even attempts to kill Truman",Controls all of Truman's movements (brainwashing),Director
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Selfish
- Will go against own beliefs for personal success
- Greed
- Murder
- Intelligent
- Loves his family",,(skilled)Oil tycoon
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Deceitfulness
- Enjoys gambling
- Commits murder (even of innocent people), theft, attempted coups, and various crimes
- Impulsive
- smoking",,Mafia boss
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","Murderer
Delusional",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Murderer
- Authoritarian
- Lacks empathy for others
- Seeks to control others",,Officer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- High intelligence
- Fondness for dinosaurs
- All actions are malicious
- Despite being a scientist, adopts a self-righteous attitude, ignoring his academic community",,scientist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Murderer
- Violent",,Sheriff(보안관)
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- High intelligence
- Does not reveal emotions to others","- Martial arts expertise
- Sharpshooter: Skilled with a gun",
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,"- Can change shape and infect people down to their cells, capable of destroying humans
- Shapeshifter
- Invincible
- Can survive for thousands of years",
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Immature
- Cannot contain excitement for pet fish and accidentally kills them
- Pure evil",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- High intelligence
- Deceitfulness
- Incestuous",,Criminal mastermind
"Skin color:
Race (or ethnicity): Green eyes
Facial features:
Hair: Pink
Impression:
Distinctive feature:","- Cursed the protagonist to become a 90-year-old grandmother
- Vindictive",- Used dark magic to stay young,magician
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- meticulous
- Attempted murder",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Self-centered
- rude
- Popular among men for exceptional beauty
- Cannot contain anger towards the only man who does not like him
- Extremely impulsive",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Nationalism
- Ruthlessness
- Believes all his actions are for the country's good
- Decisive and firm in speech",,Minister of Defense
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",- paranoia,,Boxer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Pretends to be kind but ruthless
- Child kidnapping: kidnaps others in hopes they will suffer the same pain he did after losing his family
- Deeply loves his son
- Unable to judge his actions properly after the shock of losing his family",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,,Drug dealer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",Corrupt bureaucrat,,Officer
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Antagonistic relationship with Spider-Man
Fights Spider-Man uncontrollably under Kingpin's orders
- Murderer
- Jovial
- Suffers from schizophrenia","- Superhuman strength, speed
- Handles electricity
- Manipulates sand",
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Laziness
- No effort",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Greediness
- Stutters
- Selfish",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",Assault,,Gang member
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Conman
- High intelligence",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- High intelligence
- War machine
- Calmness",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Tortures own slaves
- Engages in sexual exploitation
- Sadistic
- Inconsistent(모순적): Despite despising slaves, feels love for Patsey and rapes her",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Wealthy
- High intelligence",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Betrayal
- Ruthlessness: Sells protagonist's family into slavery",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Loves reading
- High intelligence
- Charismatic to people
- Victim cosplay: masquerades as rape victim
- Engages in frequent sexual contact",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",Murder,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,,Bombing terrorist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",,,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- High intelligence
- Selfish
- Antisocial",,
"Skin color:
Race (or ethnicity):
Facial features:Tooth-shaped mask
Hair: White hair tuft
Impression:
Distinctive feature:","- Deceitfulness
- Rapist
- Forces and brainwashes subordinates to love him
- Dictator
- Oppression
- Loves his wife
- Unusual sexual preferences",,
"Skin color:Purple scales
Race (or ethnicity):
Facial features:Three antennae on top of head, Green eyes
Hair: 
Impression:
Distinctive feature:Eight legs
","- Deceitfulness
- Selfishness
- Ruthlessness",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",Corruption,,Politician
"Skin color: white
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Killer Shark
- Developed a taste for humans
- Rogue shark",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature: Giant size","- Ruthlessness
- Greed
- vicious and cruel that people cannot be tamed
- Selfish
- Dictator",Breathes fire,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- High intelligence
- Rapist
- Kidnapper
- Narcissistic personality disorder
- Selfish
- ""Old Nick"" is nickname for The Devil",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- touchy
- Arrogance
- Fails to properly run own restaurant",Absolute taste,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- smoking
- selfish
- Support for sexual slavery and genocide",,Merchant
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- an illegal biological experiment
- Child abuse",,scientist
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:",- Murder machine,"- 물체 거리 계산 가능
- 감정 상태 분석 (인간의 적대감 분석)
- 인간 음성 패턴 복제 
",
"Skin color: Green
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:broom, conical hat",- cruelty,Animal manipulation ability,Witch
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Hatred for heroes
- High intelligence
- Maliciousness",Use of advanced weaponry,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: pomade
Impression:
Distinctive feature:","- Deceitfulness
- possessive
- sexual perversion
- Traitor to the country
- Misogyny",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- 책 중독자
-  Weathly
- sexual perversion(책이 다 춘화집. 책 읽기를 시킬 때 굳이 성행위 자세를 시킴.)",,
"Skin color:
Race (or ethnicity):
Facial features:
Hair: 
Impression:
Distinctive feature:","- Dedicated
- possessive
- manners
- lesbian (link: 쥬얼리-진주-를 통한 분석)",,Housekeeper
"Skin color:
Race (or ethnicity):
Facial features: blue eyes
Hair: 
Impression: gray suit, French coat
Distinctive feature: dandy","- manners(겉으로는)
- Self-centeredness
- Deceitfulness
- Impulsiveness
- corrupt
- Mercilessness",,Government agent(America)
"Skin color:
Race (or ethnicity): American
Facial features: Blue eyes 
Hair: Red 
Impression:
Distinctive feature:","- Racial discrimination(친구들과 무리를 지어 인종차별을 함.) 올바르지 못한 도덕관
→ 모든 흑인이 나에게 복종하길 바람.
- well-connected in high society. (사교계 유명 인사)
- irrational(그러나 모순되게도 본인을 '이상주의자'라고 칭함. 고결하고 이상적인 존재로써, 인종차별주의를 하고 있지 않다고 믿고 있음.)",,
